"AnimalID","SiteName","Beach","Region","Time","Sex","Age","Behavior","Platform","date","datetime","pup_evidence"
"100R","PYRAMID ROCK",NA,"OREGON",1200,NA,NA,NA,NA,"06/03/2005",2005-06-03 12:00:00,NA
"101R","PYRAMID ROCK",NA,"OREGON",0,NA,NA,NA,NA,"08/27/2001",2001-08-27 00:00:00,NA
"101Y","NORRIS ROCKS",NA,"BC",1200,NA,NA,NA,NA,"02/14/2004",2004-02-14 12:00:00,NA
"101Y","SEA LION ROCK JAGGED ISLAND",NA,"WASH",1335,"UNK","J",NA,NA,"06/16/2004",2004-06-16 13:35:00,NA
"101Y","ORFORD REEF ARCH ROC",NA,"OREGON",1340,"UNK","J",NA,NA,"07/14/2004",2004-07-14 13:40:00,NA
"101Y","NORRIS ROCKS",NA,"BC",1200,NA,NA,NA,NA,"01/25/2005",2005-01-25 12:00:00,NA
"101Y","NORRIS ROCKS",NA,"BC",1200,NA,NA,NA,NA,"01/26/2005",2005-01-26 12:00:00,NA
"101Y","NORRIS ROCKS",NA,"BC",1030,NA,NA,NA,NA,"01/10/2006",2006-01-10 10:30:00,NA
"101Y","ORFORD REEF",NA,"OREGON",1200,NA,NA,NA,NA,"06/14/2006",2006-06-14 12:00:00,NA
"101Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"07/30/2006",2006-07-30 12:00:00,NA
"101Y","ENTRANCE ISLAND",NA,"BC",1200,NA,NA,NA,NA,"04/29/2009",2009-04-29 12:00:00,NA
"101Y","ORFORD REEF LONG BRO",NA,"OREGON",1200,NA,NA,NA,NA,"07/08/2010",2010-07-08 12:00:00,NA
"101Y","E BODELTEH ISLAND",NA,"WASH",1200,NA,NA,NA,NA,"11/05/2011",2011-11-05 12:00:00,NA
"101Y","ORFORD REEF W CON",NA,"OREGON",1200,"F","A",NA,NA,"08/28/2012",2012-08-28 12:00:00,NA
"101Y","BELLE CHAIN ISLETS",NA,"BC",1200,NA,NA,NA,NA,"03/29/2013",2013-03-29 12:00:00,NA
"101Y","PYRAMID ROCK",NA,"OREGON",1200,"F","A",NA,NA,"08/17/2014",2014-08-17 12:00:00,NA
"101Y","HORNBY ISLAND",NA,"BC",0,NA,NA,NA,NA,"03/20/2017",2017-03-20 00:00:00,NA
"101Y","ORFORD REEF SEAL ROC",NA,"OREGON",1200,"F","A",NA,NA,"07/06/2017",2017-07-06 12:00:00,NA
"101Y","ORFORD REEF W CON",NA,"OREGON",1200,"F","A",NA,NA,"08/04/2017",2017-08-04 12:00:00,NA
"101Y","E BODELTEH ISLAND",NA,"WASH",1030,"F","A",NA,NA,"10/26/2017",2017-10-26 10:30:00,NA
"101Y","NORRIS ROCKS",NA,"BC",0,NA,NA,NA,NA,"12/15/2017",2017-12-15 00:00:00,NA
"101Y","ORFORD REEF SEAL ROC",NA,"OREGON",1200,"F","A",NA,NA,"07/31/2018",2018-07-31 12:00:00,NA
"101Y","ORFORD REEF W CON",NA,"OREGON",1420,"F","A",NA,NA,"06/25/2019",2019-06-25 14:20:00,NA
"102Y","WARRIOR ROCK",NA,"BC",1200,NA,NA,NA,NA,"07/18/2005",2005-07-18 12:00:00,NA
"102Y","JUAN PEREZ SOUND",NA,"BC",1200,NA,NA,NA,NA,"09/04/2006",2006-09-04 12:00:00,NA
"102Y","SAINT GEORGE REEF N SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"06/29/2007",2007-06-29 12:00:00,NA
"102Y","E BODELTEH ISLAND",NA,"WASH",1200,NA,NA,NA,NA,"09/03/2008",2008-09-03 12:00:00,NA
"102Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"05/30/2009",2009-05-30 12:00:00,NA
"102Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"07/02/2009",2009-07-02 12:00:00,NA
"102Y","SAINT GEORGE REEF N SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"07/03/2009",2009-07-03 12:00:00,NA
"102Y","SUBMARINE",NA,"WASH",1200,NA,NA,NA,NA,"10/13/2011",2011-10-13 12:00:00,NA
"102Y","BANGOR SUB BASE",NA,"WASH",0,NA,NA,NA,NA,"11/14/2011",2011-11-14 00:00:00,NA
"102Y","MARA ISLAND ROCK",NA,"BC",1200,NA,NA,NA,NA,"04/12/2012",2012-04-12 12:00:00,NA
"103Y","CARROLL ISLAND",NA,"WASH",1332,NA,NA,NA,NA,"12/08/2005",2005-12-08 13:32:00,NA
"104Y","ESTEVAN POINT",NA,"BC",1200,NA,NA,NA,NA,"07/01/2005",2005-07-01 12:00:00,NA
"104Y","LONG BEACH ROCKS",NA,"BC",1200,NA,NA,NA,NA,"07/12/2005",2005-07-12 12:00:00,NA
"104Y","LONG BEACH ROCKS",NA,"BC",1200,NA,NA,NA,NA,"04/21/2006",2006-04-21 12:00:00,NA
"104Y","SAINT GEORGE REEF N SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"06/29/2007",2007-06-29 12:00:00,NA
"104Y","JUAN PEREZ SOUND",NA,"BC",1330,NA,NA,NA,NA,"09/05/2007",2007-09-05 13:30:00,NA
"104Y","LONG BEACH ROCKS",NA,"BC",1200,NA,NA,NA,NA,"03/19/2008",2008-03-19 12:00:00,NA
"104Y","CLELAND ISLAND",NA,"BC",1200,NA,NA,NA,NA,"04/02/2008",2008-04-02 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1430,NA,NA,NA,NA,"06/19/2008",2008-06-19 14:30:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"06/29/2008",2008-06-29 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"07/25/2008",2008-07-25 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1330,NA,NA,NA,NA,"08/07/2008",2008-08-07 13:30:00,NA
"104Y","LONG BEACH ROCKS",NA,"BC",1632,NA,NA,NA,NA,"01/15/2009",2009-01-15 16:32:00,NA
"104Y","PLOVER ROCKS",NA,"BC",1200,NA,NA,NA,NA,"02/02/2009",2009-02-02 12:00:00,NA
"104Y","MARA ISLAND ROCK",NA,"BC",1200,NA,NA,NA,NA,"02/14/2009",2009-02-14 12:00:00,NA
"104Y","BARRIER ROCKS ISLANDS",NA,"BC",1200,NA,NA,NA,NA,"05/09/2009",2009-05-09 12:00:00,NA
"104Y","CARMANAH POINT",NA,"BC",700,NA,NA,NA,NA,"07/22/2009",2009-07-22 07:00:00,NA
"104Y","PACHENA",NA,"BC",1200,NA,NA,NA,NA,"05/14/2010",2010-05-14 12:00:00,NA
"104Y","LONG BEACH ROCKS",NA,"BC",1200,NA,NA,NA,NA,"06/08/2010",2010-06-08 12:00:00,NA
"104Y","PACHENA",NA,"BC",1200,NA,NA,NA,NA,"10/03/2010",2010-10-03 12:00:00,NA
"104Y","CLELAND ISLAND",NA,"BC",1200,"F","A",NA,NA,"04/18/2011",2011-04-18 12:00:00,NA
"104Y","CLELAND ISLAND",NA,"BC",1200,"F","A",NA,NA,"04/19/2011",2011-04-19 12:00:00,NA
"104Y","SAINT GEORGE REEF N SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"05/24/2011",2011-05-24 12:00:00,NA
"104Y","SAINT GEORGE REEF N SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"06/04/2011",2011-06-04 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"08/07/2011",2011-08-07 12:00:00,NA
"104Y","CLELAND ISLAND",NA,"BC",1200,"F","A",NA,NA,"04/11/2012",2012-04-11 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"07/20/2012",2012-07-20 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"08/29/2012",2012-08-29 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"09/21/2012",2012-09-21 12:00:00,NA
"104Y","CLELAND ISLAND",NA,"BC",1200,"F","A",NA,NA,"05/28/2013",2013-05-28 12:00:00,NA
"104Y","LONG BEACH ROCKS",NA,"BC",1200,"F","A",NA,NA,"06/04/2013",2013-06-04 12:00:00,NA
"104Y","LONG BEACH ROCKS",NA,"BC",1200,"F","A",NA,NA,"06/14/2013",2013-06-14 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"06/12/2014",2014-06-12 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"06/19/2014",2014-06-19 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"06/23/2014",2014-06-23 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"06/26/2014",2014-06-26 12:00:00,NA
"104Y","SAINT GEORGE REEF N SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"07/21/2014",2014-07-21 12:00:00,NA
"104Y","SAINT GEORGE REEF N SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"07/30/2014",2014-07-30 12:00:00,NA
"104Y","LONG BEACH ROCKS",NA,"BC",1200,"F","A",NA,NA,"02/21/2015",2015-02-21 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"06/22/2015",2015-06-22 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"06/28/2015",2015-06-28 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"07/07/2015",2015-07-07 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"07/12/2015",2015-07-12 12:00:00,NA
"104Y","SAINT GEORGE REEF N SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"08/09/2015",2015-08-09 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"06/24/2017",2017-06-24 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"06/26/2017",2017-06-26 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"07/05/2017",2017-07-05 12:00:00,NA
"104Y","SAINT GEORGE REEF N SEAL ROCK",NA,"CALIF",1325,"F","A",NA,NA,"08/04/2017",2017-08-04 13:25:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"06/20/2018",2018-06-20 12:00:00,NA
"104Y","SAINT GEORGE REEF N SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"07/05/2018",2018-07-05 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,NA,NA,NA,NA,"07/06/2018",2018-07-06 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"08/01/2018",2018-08-01 12:00:00,NA
"104Y","SAINT GEORGE REEF S SEAL ROCK",NA,"CALIF",1200,"F","A",NA,NA,"09/17/2018",2018-09-17 12:00:00,NA
"105R","PYRAMID ROCK",NA,"OREGON",0,NA,NA,NA,NA,"08/27/2001",2001-08-27 00:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1115,NA,"P",NA,NA,"01/14/2003",2003-01-14 11:15:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1330,"UNK","P",NA,NA,"01/28/2003",2003-01-28 13:30:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",940,"UNK","P",NA,NA,"01/29/2003",2003-01-29 09:40:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1400,"UNK","P",NA,NA,"02/02/2003",2003-02-02 14:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1200,"UNK","P",NA,NA,"02/03/2003",2003-02-03 12:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1030,NA,"P",NA,NA,"03/07/2003",2003-03-07 10:30:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1230,"UNK","P",NA,NA,"03/08/2003",2003-03-08 12:30:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1530,NA,"P",NA,NA,"04/02/2003",2003-04-02 15:30:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1600,"UNK","P",NA,NA,"04/03/2003",2003-04-03 16:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1100,"UNK","P",NA,NA,"04/04/2003",2003-04-04 11:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1450,"UNK","P",NA,NA,"04/23/2003",2003-04-23 14:50:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1255,"UNK","P",NA,NA,"04/24/2003",2003-04-24 12:55:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1703,"UNK","P",NA,NA,"04/25/2003",2003-04-25 17:03:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1240,"UNK","P",NA,NA,"04/26/2003",2003-04-26 12:40:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1028,NA,"P",NA,NA,"05/18/2003",2003-05-18 10:28:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",0,NA,"J",NA,NA,"06/02/2003",2003-06-02 00:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",0,NA,"J",NA,NA,"06/03/2003",2003-06-03 00:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",905,"UNK","J",NA,NA,"06/04/2003",2003-06-04 09:05:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1716,NA,"J",NA,NA,"07/08/2003",2003-07-08 17:16:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1630,NA,"J",NA,NA,"07/16/2003",2003-07-16 16:30:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1217,NA,"J",NA,NA,"07/17/2003",2003-07-17 12:17:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1650,"UNK","J",NA,NA,"08/17/2003",2003-08-17 16:50:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1328,"UNK","J",NA,NA,"08/18/2003",2003-08-18 13:28:00,NA
"105Y","CASCADE HEAD",NA,"OREGON",0,NA,"J",NA,NA,"09/18/2003",2003-09-18 00:00:00,NA
"105Y","CASCADE HEAD",NA,"OREGON",1120,"UNK","J",NA,NA,"10/25/2003",2003-10-25 11:20:00,NA
"105Y","CASCADE HEAD",NA,"OREGON",1200,"UNK","J",NA,NA,"11/15/2003",2003-11-15 12:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",0,"UNK","J",NA,NA,"02/20/2004",2004-02-20 00:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1344,NA,"J",NA,NA,"05/12/2004",2004-05-12 13:44:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1155,"UNK","J",NA,NA,"05/22/2004",2004-05-22 11:55:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1500,"UNK","J",NA,NA,"05/23/2004",2004-05-23 15:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1100,"UNK","J",NA,NA,"05/27/2004",2004-05-27 11:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",800,NA,"J",NA,NA,"06/17/2004",2004-06-17 08:00:00,NA
"105Y","SEA LION CAVES",NA,"OREGON",1835,"UNK","J",NA,NA,"06/22/2004",2004-06-22 18:35:00,NA
