"Region","Complex","Site","Rookery","Source","Lon","Lat","Spp","Comment"
"BC","ADA ISLANDS","ADA ISLANDS",NA,"DFO_BCMCA",-124.0903,49.2879,"HS",NA
"BC","ADAM ROCKS","ADAM ROCKS",NA,"DFO_BCMCA",-131.23048,52.11663,"HS",NA
"BC","AGGLOMERATE ISLAND","AGGLOMERATE ISLAND",NA,"DFO_BCMCA",-131.4207,52.6295,"HS",NA
"BC","AHSDOWN ISLAND","AHSDOWN ISLAND","FALSE","NMML ARCHIVE",-129.21133,53.04917,"SSL",NA
"BC","ALBERT HEAD","ALBERT HEAD",NA,"DFO_BCMCA",-123.4759,48.3866,"HS",NA
"BC","ALBION POINT","ALBION POINT",NA,"DFO_BCMCA",-124.3934,49.7654,"HS",NA
"BC","AMELIA ISLAND","AMELIA ISLAND",NA,"DFO_BCMCA",-124.151,49.3041,"HS",NA
"BC","ANCHOR ROCK","ANCHOR ROCK",NA,"DFO_BCMCA",-123.5401,48.3375,"HS",NA
"BC","ANTHONY ISLAND","ANTHONY ISLAND",NA,"ODFW",-131.24,52.10333,"SSL",NA
"BC","ARBUTUS ISLAND","ARBUTUS ISLAND",NA,"DFO_BCMCA",-123.4339,48.7064,"HS",NA
"BC","ARIEL ROCK","ARIEL ROCK",NA,"DFO_BCMCA",-132.04878,52.80037,"HS",NA
"BC","ASHBY","SECRETARY PTS",NA,"DFO_BCMCA",-127.91245,50.94337,"HS",NA
"BC","ASHBY POINT","ASHBY POINT","FALSE","NMML ARCHIVE",-127.92067,50.94217,"SSL",NA
"BC","ATKINS REEF","ATKINS REEF",NA,"DFO_BCMCA",-123.4639,48.87706,"HS",NA
"BC","BAERIA ROCKS","BAERIA ROCKS",NA,"DFO_BCMCA",-125.1518,48.9544,"HS",NA
"BC","BALLARD POINT REEF","BALLARD POINT REEF",NA,"DFO_BCMCA",-131.00588,51.97505,"HS",NA
"BC","BALLINGALL ISLETS","BALLINGALL ISLETS",NA,"DFO_BCMCA",-123.4585,48.9084,"HS",NA
"BC","BAMFORD LAGOON","BAMFORD LAGOON",NA,"PROVINCE OF BC",-127.28589,50.99588,"HS",NA
"BC","BARRIER ROCKS ISLANDS","BARRIER ROCKS ISLANDS",NA,"ODFW",-127.52617,50.01233,"SSL",NA
"BC","BASE SAND BAR","BASE SAND BAR",NA,"DFO_BCMCA",-130.2287,54.0822,"HS",NA
"BC","BATLEY ISLAND","BATLEY ISLAND",NA,"ODFW",-125.358,48.868,"SSL",NA
"BC","BEDDIS ROCK","BEDDIS ROCK",NA,"DFO_BCMCA",-123.3037,48.7648,"HS",NA
"BC","BELL ROCKS","BELL ROCKS",NA,"DFO_BCMCA",-126.6612,50.55515,"HS",NA
"BC","BELLE CHAIN ISLETS","BELLE CHAIN ISLETS",NA,"MANUAL",-123.1925,48.8278,"MIXED",NA
"BC","BERESFORD ISLAND","BERESFORD ISLAND","FALSE","NMML ARCHIVE",-128.76967,50.792,"SSL",NA
"BC","BERRYMAN POINT","BERRYMAN POINT",NA,"MANUAL",-125.677,49.1554,"SSL","ADDED BY  BW 20200723"
"BC","BERTHA ISLAND","BERTHA ISLAND",NA,"DFO_BCMCA",-123.9613,49.4649,"HS",NA
"BC","BISCHOF ISLANDS","BISCHOF ISLANDS",NA,"DFO_BCMCA",-131.5678,52.5782,"HS",NA
"BC","BLACKBERRY ISLETS","BLACKBERRY ISLETS",NA,"DFO_BCMCA",-125.79417,49.21418,"HS",NA
"BC","BLACKFISH SOUND","BLACKFISH SOUND",NA,"ODFW",-126.729,50.596,"SSL",NA
"BC","BLUNDEN ISLET","BLUNDEN ISLET",NA,"DFO_BCMCA",-123.1666,48.7444,"HS",NA
"BC","BOAT COVE REEFS","BOAT COVE REEFS",NA,"DFO_BCMCA",-124.2361,49.4605,"HS",NA
"BC","BOAT ISLET","BOAT ISLET",NA,"DFO_BCMCA",-123.31992,48.81138,"HS",NA
"BC","BOHO ISLAND","BOHO ISLAND",NA,"DFO_BCMCA",-124.2233,49.4975,"HS",NA
"BC","BOLD BLUFF POINT","BOLD BLUFF POINT",NA,"DFO_BCMCA",-123.55276,48.78824,"HS",NA
"BC","BONILLA ISLAND","BONILLA ISLAND","FALSE","NMML ARCHIVE",-130.61283,53.46617,"SSL",NA
"BC","BONILLA POINT","BONILLA POINT",NA,"DFO_BCMCA",-124.6965,48.5873,"HS",NA
"BC","BORDELAIS ISLETS","BORDELAIS ISLETS",NA,"DFO_BCMCA",-125.2308,48.8176,"HS",NA
"BC","BOWEN BAY ROCK","BOWEN BAY ROCK",NA,"DFO_BCMCA",-123.42787,49.35958,"HS",NA
"BC","BOWEN ISLAND","BOWEN ISLAND",NA,"DFO_BCMCA",-123.3968,49.3908,"HS",NA
"BC","BOYLE ISLAND","BOYLE ISLAND",NA,"DFO_BCMCA",-127.5577,50.85162,"HS",NA
"BC","BRANT REEF","BRANT REEF",NA,"DFO_BCMCA",-123.6757,49.158,"HS",NA
"BC","BREAKWATER ISLAND","BREAKWATER ISLAND",NA,"DFO_BCMCA",-123.6775,49.1342,"HS",NA
"BC","BRIGHT ISLAND","BRIGHT ISLAND",NA,"ODFW",-123.353,48.821,"SSL",NA
"BC","BROTHERS ISLANDS","BROTHERS ISLANDS",NA,"DFO_BCMCA",-123.4331,48.4255,"HS",NA
"BC","BROWNING PASS REEF","BROWNING PASS REEF",NA,"DFO_BCMCA",-125.8691,49.13583,"HS",NA
