"AnimalID","t_0","site_0","Mass_std","Sex","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"100R",2001,"PYRAMID ROCK",-0.702730272539426,"F",12,12,12,12,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"100Y",2002,"SOUTH SEAL ROCK",0.234729968783606,"F",12,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"101R",2001,"PYRAMID ROCK",-0.0186376640064025,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"101Y",2002,"SOUTH SEAL ROCK",0.716128471084623,"F",12,12,12,3,4,5,12,12,8,9,10,11,11,11,12,12,11,11,11
"102R",2001,"PYRAMID ROCK",0.133382915667603,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"102Y",2002,"SOUTH SEAL ROCK",1.31154240814114,"M",12,12,12,12,4,5,6,7,8,12,10,11,12,12,12,12,12,12,12
"103R",2001,"PYRAMID ROCK",-0.487367784667919,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"103Y",2002,"SOUTH SEAL ROCK",0.0953777707491013,"F",12,12,12,12,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"104R",2001,"PYRAMID ROCK",-0.930761142050434,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"104Y",2002,"SOUTH SEAL ROCK",0.374082166818111,"F",12,12,12,12,4,5,6,7,8,9,10,11,11,11,11,12,11,11,12
"105R",2001,"PYRAMID ROCK",0.247398350423107,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"105Y",2002,"SOUTH SEAL ROCK",0.640118181247621,"M",12,12,2,3,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"106R",2001,"PYRAMID ROCK",-0.310010441714913,"M",1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"106Y",2002,"SOUTH SEAL ROCK",0.513434364852616,"M",12,1,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
